"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk223_pilon.4",57.2699819424831,-2.10152481369398,0.515238036232938,-4.07874548443448,4.52793741615643e-05,0.0199089171495293,"CvsT2",84,0,22,77,76,119,54,105,38,63,68,86,45,100,33
"Acerv_evm.TU.Segkk3395_pilon.41",73.72818654295,-1.55638735639207,0.384373284952121,-4.04915590475009,5.14026945829224e-05,0.0205646587427105,"CvsT2",74,4,63,50,79,161,76,112,91,156,73,99,43,163,29
"Acerv_evm.TU.Segkk3525_pilon.11",22.8482435347672,-2.4941466747892,0.62550301643311,-3.98742549478324,6.67941704370372e-05,0.0240939931600481,"CvsT2",48,0,19,11,27,58,21,24,9,10,28,39,27,45,10
"Acerv_evm.TU.Segkk119_pilon.17",77.9620183590658,-3.62802450009431,0.577833074219421,-6.27867227052608,3.4147652804296e-10,3.07943532989142e-06,"CvsT2",110,0,35,36,108,186,75,283,28,36,72,50,81,132,38
"Acerv_evm.TU.Segkk1708_pilon.211",10.2282449967353,-2.2219822937399,0.565792930929282,-3.92720052208928,8.5940328515059e-05,0.0258336627516267,"CvsT2",14,0,7,4,10,14,10,20,11,15,10,18,9,22,7
"Acerv_evm.TU.Segkk3209_pilon.7",27.1787100506276,-1.71052148383476,0.446669629604203,-3.82950030730869,0.000128403722869666,0.0373530571883434,"CvsT2",58,2,21,34,32,45,28,31,19,26,29,13,26,53,17
"Acerv_evm.TU.Segkk3047_pilon.5",26.7920627018323,-3.26139820079785,0.667395514554344,-4.8867547498812,1.02511659099243e-06,0.00132064305965282,"CvsT2",33,0,11,16,51,67,33,38,8,5,27,22,34,47,24
"Acerv_evm.TU.Segkk2424_pilon.11",80.4777488430549,-3.51581297257355,0.862923457057865,-4.07430455600396,4.61520528028966e-05,0.0199089171495293,"CvsT2",134,0,38,19,85,125,123,233,26,28,77,49,52,227,71
"Acerv_evm.TU.Segkk2725_pilon.8",25.8204694761723,-2.12866011887141,0.557279489574673,-3.81973526514685,0.000133594982376307,0.0374413072090844,"CvsT2",37,1,14,35,26,52,23,42,11,19,26,37,28,62,9
"Acerv_evm.TU.Segkk2716_pilon.12",27.1307416389648,-2.14102533642483,0.573951287131299,-3.73032587334374,0.000191232269442851,0.0499004255306663,"CvsT2",18,0,15,24,16,44,19,80,25,106,23,42,16,62,18
"Acerv_evm.TU.Segkk1466_pilon.9",51.2384693555399,-2.05632533021836,0.504836392276857,-4.07325098126176,4.6361417181206e-05,0.0199089171495293,"CvsT2",44,0,43,73,47,120,53,139,43,85,29,21,62,175,26
"Acerv_evm.TU.Segkk2117_pilon.21",24.7097608079351,-1.77340928672203,0.43914006528796,-4.03836822668218,5.3824315476011e-05,0.0205646587427105,"CvsT2",45,0,30,17,32,61,27,40,28,33,26,18,24,44,16
"Acerv_evm.TU.Segkk3087_pilon.21",25.7360835517873,-3.05303946904718,0.598842963181126,-5.09823051577507,3.42843167068432e-07,0.000618351936124624,"CvsT2",50,0,10,15,33,65,39,38,6,15,31,27,24,62,12
"Acerv_evm.TU.Segkk3540_pilon.3",29.6868858764479,-2.73982140657503,0.629583248766035,-4.35180162741782,1.35023403050571e-05,0.00869743606221467,"CvsT2",13,0,31,22,16,20,21,189,35,34,14,28,30,37,10
"Acerv_evm.TU.Segkk3422_pilon.232",1318.46151976369,-6.5455089058056,1.09991823421589,-5.95090498747098,2.6666386183125e-09,2.40477470599421e-05,"CvsT3",799,711,15,8,471,680,524,537,22,14,402,449,304,1079,353
"Acerv_evm.TU.Segkk1779_pilon.51",26.2640847133377,-1.95136631780893,0.493406707071348,-3.95488405374829,7.65717773947157e-05,0.0383624604747526,"CvsT3",59,0,14,16,30,52,30,48,33,45,30,15,31,58,10
"Acerv_evm.TU.Segkk1268_pilon.22",24.826070552109,-3.59071106220881,0.636462855061972,-5.64166633394369,1.68412232383834e-08,5.06247170545806e-05,"CvsT3",25,0,7,6,27,35,30,43,10,12,35,50,14,39,28
