"","gene_id","Orthogroup","Species"
"236","Montipora_capitata_PredGene_adi2mcaRNA12_R8","OG0000148","M.capitata"
"237","Montipora_capitata_PredGene_adi2mcaRNA12026_R0","OG0002906","M.capitata"
"238","Montipora_capitata_PredGene_adi2mcaRNA15070_R6","OG0001044","M.capitata"
"239","Montipora_capitata_PredGene_adi2mcaRNA15384_R0","OG0010342","M.capitata"
"240","Montipora_capitata_PredGene_adi2mcaRNA21702_R1","OG0009538","M.capitata"
"241","Montipora_capitata_PredGene_adi2mcaRNA25316_R4","OG0000514","M.capitata"
"242","Montipora_capitata_PredGene_adi2mcaRNA26447_R5","OG0003431","M.capitata"
"243","Montipora_capitata_PredGene_adi2mcaRNA26986_R0","OG0000263","M.capitata"
"244","Montipora_capitata_PredGene_adi2mcaRNA26986_R2","OG0000263","M.capitata"
"245","Montipora_capitata_PredGene_adi2mcaRNA26986_R3","OG0000263","M.capitata"
"246","Montipora_capitata_PredGene_adi2mcaRNA34317_R1","OG0003887","M.capitata"
"247","Montipora_capitata_PredGene_adi2mcaRNA36296_R6","OG0001177","M.capitata"
"248","Montipora_capitata_PredGene_adi2mcaRNA3796_R3","OG0000487","M.capitata"
"249","Montipora_capitata_PredGene_adi2mcaRNA38767_R7","OG0000008","M.capitata"
"250","Montipora_capitata_PredGene_adi2mcaRNA39968_R0","OG0006746","M.capitata"
"251","Montipora_capitata_PredGene_adi2mcaRNA4201_R8","OG0000027","M.capitata"
"252","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","OG0003152","M.capitata"
"253","Montipora_capitata_PredGene_adi2mcaRNA5341_R0","OG0000003","M.capitata"
"254","Montipora_capitata_PredGene_adi2mcaRNA6000_R0","OG0001155","M.capitata"
"255","Montipora_capitata_PredGene_adi2mcaRNA6174_R8","OG0000982","M.capitata"
"256","Montipora_capitata_PredGene_adi2mcaRNA8620_R1","OG0007322","M.capitata"
"257","Montipora_capitata_PredGene_adi2mcaRNA9177_R0","OG0000500","M.capitata"
"258","Montipora_capitata_PredGene_adi2mcaRNA9790_R0","OG0002028","M.capitata"
"259","Montipora_capitata_PredGene_g10736","OG0010205","M.capitata"
"260","Montipora_capitata_PredGene_g12169","OG0004023","M.capitata"
"261","Montipora_capitata_PredGene_g13046","OG0000960","M.capitata"
"262","Montipora_capitata_PredGene_g15440","OG0007769","M.capitata"
"263","Montipora_capitata_PredGene_g15708","OG0015938","M.capitata"
"264","Montipora_capitata_PredGene_g17706","OG0010588","M.capitata"
"265","Montipora_capitata_PredGene_g1833","OG0008907","M.capitata"
"266","Montipora_capitata_PredGene_g18352","OG0013201","M.capitata"
"267","Montipora_capitata_PredGene_g18729","OG0013703","M.capitata"
"268","Montipora_capitata_PredGene_g19223","OG0001913","M.capitata"
"269","Montipora_capitata_PredGene_g21181","OG0000623","M.capitata"
"270","Montipora_capitata_PredGene_g21615","OG0001196","M.capitata"
"271","Montipora_capitata_PredGene_g22253","OG0007919","M.capitata"
"272","Montipora_capitata_PredGene_g22334","OG0016857","M.capitata"
"273","Montipora_capitata_PredGene_g22616","OG0006367","M.capitata"
"274","Montipora_capitata_PredGene_g22617","OG0015094","M.capitata"
"275","Montipora_capitata_PredGene_g22815","OG0002467","M.capitata"
"276","Montipora_capitata_PredGene_g23101","OG0010475","M.capitata"
"277","Montipora_capitata_PredGene_g23310","OG0009131","M.capitata"
"278","Montipora_capitata_PredGene_g24884","OG0011830","M.capitata"
"279","Montipora_capitata_PredGene_g24972","OG0001291","M.capitata"
"280","Montipora_capitata_PredGene_g25159","OG0000194","M.capitata"
"281","Montipora_capitata_PredGene_g2532","OG0011243","M.capitata"
"282","Montipora_capitata_PredGene_g25681","OG0010326","M.capitata"
"283","Montipora_capitata_PredGene_g26572","OG0000806","M.capitata"
"284","Montipora_capitata_PredGene_g26775","OG0002524","M.capitata"
"285","Montipora_capitata_PredGene_g27065","OG0002039","M.capitata"
"286","Montipora_capitata_PredGene_g27090","OG0014041","M.capitata"
"287","Montipora_capitata_PredGene_g27724","OG0000177","M.capitata"
"288","Montipora_capitata_PredGene_g27898","OG0001049","M.capitata"
"289","Montipora_capitata_PredGene_g28211","OG0014489","M.capitata"
"290","Montipora_capitata_PredGene_g28510","OG0000923","M.capitata"
"291","Montipora_capitata_PredGene_g29444","OG0000265","M.capitata"
"292","Montipora_capitata_PredGene_g29986","OG0000213","M.capitata"
"293","Montipora_capitata_PredGene_g30681","OG0001081","M.capitata"
"294","Montipora_capitata_PredGene_g3095","OG0005779","M.capitata"
"295","Montipora_capitata_PredGene_g3118","OG0009143","M.capitata"
"296","Montipora_capitata_PredGene_g31904","OG0002575","M.capitata"
"297","Montipora_capitata_PredGene_g32152","OG0000392","M.capitata"
"298","Montipora_capitata_PredGene_g32748","OG0011091","M.capitata"
"299","Montipora_capitata_PredGene_g32819","OG0000106","M.capitata"
"300","Montipora_capitata_PredGene_g33208","OG0014300","M.capitata"
"301","Montipora_capitata_PredGene_g33747","OG0011949","M.capitata"
"302","Montipora_capitata_PredGene_g35468","OG0000048","M.capitata"
"303","Montipora_capitata_PredGene_g3562","OG0000608","M.capitata"
"304","Montipora_capitata_PredGene_g36333","OG0000487","M.capitata"
"305","Montipora_capitata_PredGene_g36664","OG0004661","M.capitata"
"306","Montipora_capitata_PredGene_g36718","OG0017722","M.capitata"
"307","Montipora_capitata_PredGene_g3686","OG0000744","M.capitata"
"308","Montipora_capitata_PredGene_g38249","OG0006770","M.capitata"
"309","Montipora_capitata_PredGene_g39266","OG0007229","M.capitata"
"310","Montipora_capitata_PredGene_g40719","OG0000106","M.capitata"
"311","Montipora_capitata_PredGene_g41405","OG0002422","M.capitata"
"312","Montipora_capitata_PredGene_g41407","OG0007132","M.capitata"
"313","Montipora_capitata_PredGene_g41994","OG0019282","M.capitata"
