Orthogroup	plut2v1.1.proteins	Mcavernosa.maker.proteins
OG0000077	plut2.m8.32957.m1, plut2.m8.29514.m1, plut2.m8.29517.m1, plut2.m8.21746.m1, plut2.m8.32951.m1, plut2.m8.21747.m1, plut2.m8.32953.m1, plut2.m8.21745.m1, plut2.m8.32954.m1, plut2.m8.21744.m1, plut2.m8.32952.m1, plut2.m8.29519.m1, plut2.m8.29516.m1, plut2.m8.23493.m1, plut2.m8.23494.m1, plut2.m8.29515.m1, plut2.m8.32955.m1, plut2.m8.32950.m1, plut2.m8.17057.m1	Mcavernosa16149-RA, Mcavernosa32819-RA, Mcavernosa34677-RA, Mcavernosa22487-RA, Mcavernosa15349-RA
OG0000081	plut2.m8.20870.m1, plut2.m8.31443.m1, plut2.m8.2082.m1, plut2.m8.4374.m1, plut2.m8.1044.m1, plut2.m8.33611.m1	Mcavernosa11573-RA
OG0000082	jamg1.model.Sc0000034.100	Mcavernosa14362-RA, Mcavernosa31272-RA
OG0000083	plut2.m8.17812.m1, plut2.m8.17810.m1, plut2.m8.17809.m1, plut2.m8.15316.m1, plut2.m8.11142.m1, plut2.m8.28451.m1, plut2.m8.28454.m1, plut2.m8.28455.m1, plut2.m8.28453.m1, jamg1.model.xfSc0000112.12, plut2.m8.28459.m1, plut2.m8.28460.m1, plut2.m8.17816.m1, plut2.m8.17815.m1	Mcavernosa08890-RA
OG0000084	plut2.m8.6419.m1	Mcavernosa24871-RA
OG0000084	plut2.m8.31285.m1	Mcavernosa07911-RA, Mcavernosa19272-RA
OG0000084	plut2.m8.19948.m1, plut2.m8.5262.m1	Mcavernosa08142-RA, Mcavernosa21542-RA, Mcavernosa29104-RA
OG0000085	plut2.m8.3627.m1, plut2.m8.7233.m1, plut2.m8.7232.m1	Mcavernosa01374-RA
OG0000085	plut2.m8.18138.m1, plut2.m8.18130.m1, plut2.m8.5246.m1, plut2.m8.5245.m1, plut2.m8.5242.m1, plut2.m8.18122.m1	Mcavernosa34441-RA, Mcavernosa01371-RA
OG0000086	jamg1.model.Sc0000152.38, plut2.m8.26179.m1, jamg1.model.Sc0000189.14, jamg1.model.Sc0000270.9, jamg1.model.Sc0000294.27, jamg1.model.xfSc0000877.2, plut2.m8.1987.m1, jamg1.model.Sc0000249.12, jamg1.model.xpSc0007187.5, plut2.m8.9924.m1, plut2.m8.23141.m1, jamg1.model.Sc0000053.178, jamg1.model.Sc0000301.1, plut2.m8.19768.m1, plut2.m8.25566.m1, plut2.m8.28800.m1, jamg1.model.Sc0000027.1, jamg1.model.Sc0000581.3, plut2.m8.16083.m1, jamg1.model.Sc0000446.7, jamg1.model.Sc0000207.27, jamg1.model.xfSc0000093.2, jamg1.model.Sc0000040.138, jamg1.model.Sc0000283.9, jamg1.model.Sc0000122.9, jamg1.model.Sc0000729.9, jamg1.model.Sc0000038.50, jamg1.model.Sc0000812.1, jamg1.model.Sc0000025.56, jamg1.model.Sc0000538.11	Mcavernosa29534-RA
OG0000087	plut2.m8.4564.m1, plut2.m8.30932.m1	Mcavernosa03198-RA
OG0000087	plut2.m8.33056.m1	Mcavernosa00408-RA
OG0000088	plut2.m8.4626.m1, plut2.m8.4622.m1, plut2.m8.4630.m1, plut2.m8.4633.m1, plut2.m8.4624.m1, plut2.m8.4625.m1, plut2.m8.4632.m1, plut2.m8.4623.m1, plut2.m8.4621.m1, plut2.m8.4627.m1, plut2.m8.4631.m1, plut2.m8.4629.m1, plut2.m8.4638.m1	Mcavernosa11682-RA
OG0000088	plut2.m8.4628.m1	Mcavernosa11680-RA
OG0000088	plut2.m8.4614.m1	Mcavernosa11683-RA, Mcavernosa11684-RA, Mcavernosa11681-RA
OG0000089	plut2.m8.20902.m1, plut2.m8.16744.m1, plut2.m8.16743.m1, plut2.m8.32921.m1, plut2.m8.32922.m1	Mcavernosa30315-RA
OG0000089	plut2.m8.12766.m1, plut2.m8.24317.m1, plut2.m8.25770.m1, plut2.m8.25767.m1, plut2.m8.21702.m1, plut2.m8.17049.m1, jamg1.model.Sc0000288.6, plut2.m8.10001.m1, plut2.m8.11855.m1	Mcavernosa14214-RA, Mcavernosa06788-RA
OG0000093	plut2.m8.15984.m1	Mcavernosa08536-RA, Mcavernosa34471-RA, Mcavernosa09533-RA, Mcavernosa27476-RA
OG0000093	plut2.m8.15983.m1, plut2.m8.4151.m1, jamg1.model.Sc0000188.39	Mcavernosa24296-RA
OG0000093	jamg1.model.Sc0000232.41	Mcavernosa35053-RA
OG0000094	jamg1.model.Sc0000500.9, plut2.m8.22990.m1, jamg1.model.xfSc0006175.1, jamg1.model.Sc0000175.34, jamg1.model.Sc0000175.33	Mcavernosa29661-RA
OG0000095	plut2.m8.33017.m1, plut2.m8.7311.m1, plut2.m8.7298.m1, plut2.m8.7303.m1, plut2.m8.7322.m1, plut2.m8.14909.m1, plut2.m8.14914.m1	Mcavernosa00664-RA, Mcavernosa15010-RA
OG0000095	plut2.m8.7313.m1, plut2.m8.14913.m1, plut2.m8.14927.m1, plut2.m8.14942.m1, plut2.m8.7299.m1, plut2.m8.7321.m1, plut2.m8.7302.m1, plut2.m8.7314.m1, plut2.m8.14933.m1, plut2.m8.7312.m1, plut2.m8.7293.m1, plut2.m8.14903.m1, plut2.m8.7307.m1	Mcavernosa23096-RA
OG0000096	jamg1.model.Sc0000355.12, jamg1.model.Sc0000584.11	Mcavernosa32100-RA
OG0000096	jamg1.model.xpSc0007060.27	Mcavernosa05993-RA, Mcavernosa32556-RA
